distance,timedelta,temperature
3.4478,36,4.6
2.44,30,5.1
2.248,44,0.1
4.4026000000000005,12,2.6
18.2636,36,8.6
4.2535,12,3.0
7.564100000000001,16,9.2
11.811399999999999,21,4.4
0.587,11,7.8
16.2176,20,3.0
3.3675,10,1.2
3.8501,21,2.1
3.1654,7,7.9
2.0545999999999998,10,10.5
0.9431,6,0.6
6.6605,34,0.3
5.9967,19,5.1
2.2468000000000004,13,4.7
9.1294,46,4.7
6.613899999999999,31,4.4
16.6959,36,1.5
2.5363,7,4.9
8.5509,25,3.2
4.305,17,4.4
1.3884,20,7.3
1.8925,18,1.8
17.034,52,7.5
0.6139,27,5.1
0.45339999999999997,41,6.5
0.9642000000000001,6,7.2
1.8527,4,2.4
5.3039,3,7.0
1.5549000000000002,23,8.2
4.4035,57,5.3
0.3911,52,4.8
1.7445,17,9.9
0.7943,24,5.1
5.9043,16,6.4
5.3159,6,2.6
4.372,9,8.9
0.22669999999999998,0,4.9
1.2249,10,8.6
4.7613,30,10.4
3.2878000000000003,2,4.8
6.516,32,2.8
9.6416,20,3.5
3.4272,14,8.7
4.0334,42,9.2
1.077,18,3.5
2.1090999999999998,12,4.3
1.1404,10,4.1
0.0135,43,7.0
7.4525,43,5.3
9.9291,40,12.6
6.7141,16,3.8
3.1660999999999997,35,6.7
4.8805,39,4.3
2.9631,58,5.2
3.8731,13,10.9
2.7191,12,11.9
5.914,22,6.1
1.6442999999999999,4,9.4
2.3337,9,2.4
1.9897,13,4.9
4.7951999999999995,25,7.5
2.9192,7,10.0
2.6262,7,5.9
13.7129,58,5.9
3.3470999999999997,14,4.7
2.8786,8,5.5
2.3396999999999997,10,4.7
2.3728000000000002,15,8.7
3.3154,16,1.4
1.6063,5,9.2
9.9147,23,2.6
5.9777,19,4.5
3.636,14,5.6
1.0988,39,7.1
10.0417,57,2.2
7.434699999999999,21,5.1
2.7905,6,3.5
10.9155,33,5.5
3.7113,55,6.2
0.0586,29,4.4
0.0024,20,3.7
7.7928999999999995,43,7.3
0.1178,16,2.0
6.038,13,4.6
3.9243,10,4.7
0.0052,8,4.9
5.6216,11,2.9
0.5065,18,2.3
4.7153,10,3.8
6.3797,6,7.5
9.217799999999999,6,4.5
1.8558,49,10.5
1.8593,8,7.9
0.0996,23,6.0
7.5458,31,5.2
2.6656999999999997,6,0.9
7.6804,12,6.8
4.7036999999999995,11,12.4
3.3439,11,8.8
2.233,13,6.6
0.0,1,2.7
8.046,29,5.0
3.7945,8,6.4
5.2335,24,10.2
1.8197,15,5.8
7.6145,35,11.4
2.4084,11,10.2
8.6938,19,4.3
3.331,6,4.7
3.2854,20,6.3
0.0,0,7.6
3.906,11,2.1
7.3084,15,4.2
0.2067,33,2.0
11.340399999999999,24,4.9
7.3906,19,8.7
12.3237,32,5.0
2.9236,24,4.3
0.9662000000000001,33,1.3
2.9785999999999997,12,10.6
4.956,22,2.2
0.0015,14,5.8
5.742,23,5.7
0.5247,4,6.6
5.924600000000001,24,3.6
7.9675,36,4.2
1.6258,28,6.8
4.7558,10,9.7
12.6164,18,0.2
8.4124,18,4.5
12.088700000000001,35,11.8
0.0,0,4.6
1.3344,4,2.3
3.8125,23,2.2
0.013,17,4.6
4.9703,13,6.2
4.1442,29,5.1
4.057,12,3.9
5.667800000000001,30,4.6
4.0655,12,0.5
8.1187,41,2.6
1.5628,9,11.9
1.8778,10,8.5
1.6478,10,4.2
3.8790999999999998,17,4.2
3.2056999999999998,12,5.2
0.0,51,7.3
10.840399999999999,24,9.8
8.648299999999999,15,6.2
2.7943000000000002,11,2.2
1.1605,31,8.0
2.5843000000000003,8,10.5
2.906,19,6.3
1.2034,43,3.8
1.1749,34,3.3
3.8102,34,8.4
0.0013,9,3.4
2.9492,22,9.3
4.8389,25,3.9
13.9877,37,3.3
10.1097,37,2.7
8.6809,34,8.5
1.1237000000000001,7,4.3
0.0001,15,1.1
7.8911999999999995,21,9.3
0.5047,17,8.4
1.5108,22,12.5
2.1585,11,11.5
2.1980999999999997,6,2.7
8.4825,22,8.0
1.2445,8,5.1
1.8115,8,6.8
4.6747,38,8.6
0.0389,33,10.0
15.2623,24,4.1
5.4715,19,4.7
1.9213,15,8.6
12.3696,37,5.3
3.8538,41,14.4
12.655100000000001,41,2.4
2.404,6,10.1
2.1912,8,7.5
7.4771,21,11.4
2.0036,14,2.5
9.5365,36,4.0
2.3959,31,3.2
0.3658,13,6.3
3.7193,10,4.6
5.6752,13,7.5
0.018,11,5.7
0.0,4,10.4
7.5871,31,4.3
3.5458000000000003,13,4.0
