timedelta,rangeDiff,batteryPctDiff,distance,temperature
18,6,2,3.2676999999999996,13.1
26,16,17,13.0334,4.8
14,4,5,6.1126000000000005,5.0
9,1,0,0.0,7.6
43,15,9,2.364,5.8
12,1,4,3.1633,4.2
15,5,6,5.6341,7.6
3,23,14,0.0001,4.4
7,7,5,3.1185,2.1
20,20,10,4.109,-0.7
13,-4,2,2.0679000000000003,8.6
40,34,23,0.0095,1.1
12,-24,2,2.3701,5.0
31,53,15,1.4726,2.6
11,7,4,2.512,2.5
10,4,4,4.2803,7.3
43,6,4,4.0613,8.8
31,28,8,6.6515,7.9
19,19,7,5.5566,2.7
12,16,3,3.4989,4.4
17,9,5,4.0438,0.8
6,7,2,2.8949000000000003,2.5
16,12,5,5.2536000000000005,2.7
15,5,4,1.8768,7.8
11,1,6,4.8667,3.6
11,35,4,3.6358,4.5
42,17,9,0.9094,13.5
9,3,2,0.21209999999999998,14.0
7,31,3,2.9106,5.9
34,31,15,0.033600000000000005,10.9
23,12,8,4.5923,6.2
17,6,5,3.5906,2.7
16,-4,7,7.1658,12.2
20,9,8,3.2374,4.7
13,5,6,4.9708000000000006,2.7
37,33,11,4.7126,5.7
7,6,4,2.3253000000000004,5.9
38,13,10,1.9775999999999998,5.3
11,17,6,4.958600000000001,6.6
22,9,7,4.1518999999999995,2.0
24,25,11,0.5211,4.4
26,-5,1,1.409,6.5
43,16,11,1.7623,2.5
18,26,15,1.8193,4.4
15,15,5,4.0473,1.5
18,17,9,5.5891,4.4
11,5,3,2.377,10.2
21,9,8,9.1739,4.2
9,0,6,0.016800000000000002,4.3
22,9,9,5.9976,7.0
12,-17,6,4.3918,6.3
15,8,6,6.9916,4.1
21,17,7,4.1994,4.4
19,16,8,0.0060999999999999995,8.0
19,49,9,4.8171,0.0
10,28,9,6.7202,6.4
24,-3,9,7.1356,4.8
40,16,13,0.35869999999999996,2.4
24,4,5,8.1983,14.0
12,1,3,0.0037,8.6
36,16,13,10.7224,4.9
7,-1,-1,1.6162,3.3
16,-13,5,2.6851,2.0
22,20,11,10.7655,4.3
12,7,3,3.0662,3.2
21,5,7,6.2814,5.6
3,0,0,0.0,7.9
16,18,11,6.030399999999999,11.6
11,7,3,3.0227,8.2
20,9,6,2.9723,3.7
13,9,7,0.0068,5.9
25,20,10,6.6466,10.6
9,6,3,2.4843,8.8
14,-9,7,6.081300000000001,5.0
23,11,5,3.8876999999999997,12.1
14,10,8,6.245100000000001,3.8
20,11,5,3.3066999999999998,0.6
9,11,5,3.0123,6.4
11,13,2,2.2476,3.4
36,18,12,9.363,2.0
20,42,9,9.1902,4.1
25,7,6,1.4352,7.7
18,19,10,0.0001,6.5
20,11,8,6.2572,1.5
6,9,2,2.5004,4.3
14,6,4,4.2212,7.9
17,6,6,6.8765,4.5
