distance,timedelta,temperature
7.6511000000000005,20,7.8
5.4425,7,9.3
2.5843000000000003,9,6.6
3.8741,13,14.2
0.3212,3,4.8
0.5394,4,4.3
2.5482,21,3.5
4.8891,22,5.1
9.100299999999999,26,6.2
4.2507,18,2.7
6.9585,15,9.3
2.721,7,7.8
0.3926,23,5.1
0.758,38,7.8
0.0008,33,2.3
4.1948,29,8.5
11.1264,49,3.4
0.0,0,13.9
3.8708,8,1.3
0.0,15,3.5
1.3579,5,6.7
3.46,16,12.5
6.0285,19,4.5
5.9251000000000005,14,3.9
11.3732,29,7.8
6.3908000000000005,12,4.9
1.5132999999999999,4,9.2
5.3547,46,1.5
4.0981000000000005,22,2.7
9.0076,29,8.0
2.544,11,4.6
3.471,24,3.9
4.613300000000001,14,4.8
0.18730000000000002,48,5.2
12.4869,13,4.5
6.1935,28,10.4
0.5286000000000001,6,6.3
0.0,0,9.2
3.5416999999999996,9,4.4
7.9891000000000005,15,6.1
4.4173,31,4.1
0.0,12,4.0
8.1435,16,4.0
0.5892999999999999,3,3.1
4.4916,15,3.9
0.0034,39,5.5
8.9215,29,4.6
1.2903,24,6.1
6.6352,15,4.7
0.528,2,8.5
0.0415,23,7.6
1.1514000000000002,8,4.5
2.6534,9,9.2
0.0037,33,8.7
0.0,9,7.2
9.062299999999999,23,3.8
10.2418,21,1.5
3.5185999999999997,19,2.1
3.8110999999999997,46,10.6
3.4251,19,5.3
0.227,3,14.0
7.5325,40,10.0
7.3798,12,3.2
4.9643999999999995,11,7.5
8.354,19,4.3
4.417800000000001,25,14.3
4.0758,10,8.3
1.1837,7,6.6
13.2539,55,4.2
6.4787,14,6.0
5.414,30,4.2
6.6897,27,3.7
0.3439,13,8.8
10.509,33,7.4
0.0,5,11.3
11.3947,28,3.4
0.3584,7,3.5
6.0996999999999995,26,4.7
0.3965,14,7.7
6.9663,33,4.4
2.0448,17,5.1
5.472300000000001,53,2.2
6.7253,19,5.1
2.0191,7,4.4
2.156,5,3.4
4.4773000000000005,27,10.3
